K6_S01,K6_S02,K6_S03,K6_S05,K6_S06,K6_S11,K6_S12,K6_S13,K6_S14,K6_S16,K6_S27,K6_S10,K6_S15,K6_S17,K6_S18,K6_S19,K6_S20,K6_S29,K6_S30,K6_S31,K6_S33
2,0,0,2,2,0,0,0,0,0,0,2,0,0,2,1,2,1,2,2,1
2,1,1,0,2,0,0,0,0,0,0,1,0,0,2,2,2,1,2,2,0
3,2,0,3,3,0,1,1,0,0,0,2,1,0,2,0,3,0,2,0,2
3,2,1,3,3,0,0,0,0,0,0,1,1,0,2,3,3,1,1,0,1
2,0,0,2,2,0,0,2,0,0,0,2,0,0,2,2,2,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,2,2,0,0,2,0,2,2,2,1,2,2,2,2,2,1,2
2,2,1,2,2,1,1,0,0,0,0,1,1,0,1,2,1,1,1,2,2
2,2,2,2,2,2,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2
2,0,0,2,2,0,0,1,0,0,0,1,0,0,2,1,3,0,0,0,0
3,3,2,3,3,0,2,2,0,0,0,3,1,0,3,3,3,1,3,3,3
3,1,2,2,3,2,1,1,1,1,1,2,1,0,3,3,3,2,3,2,3
3,0,0,0,3,0,0,0,0,0,0,2,0,0,3,3,3,0,0,0,2
